usage_id;date_of_registration;pincode;calls_made;sms_sent;data_usage;churn
254;02/01/2020;301810;10;14;7102;No
259;02/01/2020;731397;87;46;396;No
260;02/01/2020;827526;72;41;4484;No
264;02/01/2020;806688;59;22;7049;No
266;02/01/2020;500993;97;44;7861;Yes
273;02/01/2020;246556;36;35;8129;No
275;02/01/2020;970963;106;5;7993;Yes
276;02/01/2020;978459;19;8;6013;No
280;02/01/2020;439795;99;15;844;No
281;02/01/2020;804590;43;3;976;No
284;02/01/2020;419359;54;43;3670;No
295;02/01/2020;943326;65;1;2317;Yes
297;02/01/2020;588222;32;9;5429;No
308;02/01/2020;513507;43;20;4289;No
318;02/01/2020;534424;11;15;9928;No
319;02/01/2020;926241;84;19;3928;No
324;02/01/2020;444300;15;37;2079;No
327;02/01/2020;337217;14;28;9884;No
330;02/01/2020;465349;44;43;2533;No
334;02/01/2020;308488;34;44;3017;Yes
335;02/01/2020;925035;80;9;328;No
340;02/01/2020;974920;98;15;5876;No
343;02/01/2020;212297;50;38;6185;No
346;02/01/2020;745481;86;43;3811;No
348;02/01/2020;534225;10;35;10387;No
349;02/01/2020;805240;6;1;2232;No
353;02/01/2020;177754;29;35;4781;No
354;02/01/2020;207971;75;48;4848;No
359;02/01/2020;507488;3;41;1269;No
361;02/01/2020;585734;71;4;8938;No
366;02/01/2020;901674;98;10;7145;Yes
367;02/01/2020;829776;88;34;6214;No
368;02/01/2020;877214;95;47;9829;No
371;02/01/2020;655304;46;2;7409;Yes
374;02/01/2020;245269;85;46;5392;No
377;02/01/2020;840552;27;17;7331;Yes
383;02/01/2020;874288;71;5;8838;No
384;02/01/2020;709759;9;14;1390;No
386;02/01/2020;286573;15;2;8251;No
389;02/01/2020;895347;5;5;3657;No
391;02/01/2020;425430;74;6;3800;No
396;02/01/2020;427409;12;38;1238;No
400;02/01/2020;606649;21;42;730;Yes
402;03/01/2020;532968;61;37;2316;No
403;03/01/2020;452102;23;6;2980;No
411;03/01/2020;673521;2;5;8879;No
412;03/01/2020;865254;32;10;8699;No
415;03/01/2020;115054;2;40;7892;No
424;03/01/2020;302465;102;8;1322;Yes
431;03/01/2020;806255;91;30;5356;No
432;03/01/2020;700076;84;16;8639;No
434;03/01/2020;817740;58;18;4666;Yes
436;03/01/2020;396040;9;5;1772;Yes
444;03/01/2020;802643;81;42;4317;No
447;03/01/2020;785268;52;32;9263;No
455;03/01/2020;255229;58;45;8920;No
460;03/01/2020;101718;44;14;7117;No
463;03/01/2020;556851;50;45;3211;No
471;03/01/2020;692826;93;48;2594;Yes
475;03/01/2020;178644;73;3;4083;No
476;03/01/2020;688616;5;43;617;No
478;03/01/2020;515031;32;44;488;No
481;03/01/2020;276120;89;27;14;No
483;03/01/2020;609730;84;18;9316;No
489;03/01/2020;409777;47;20;35;No
490;03/01/2020;296625;8;24;7947;No
491;03/01/2020;134858;78;22;5104;No
492;03/01/2020;182851;97;46;6760;No
494;03/01/2020;512435;23;4;4494;Yes
495;03/01/2020;439164;73;30;8497;No
498;03/01/2020;627762;23;7;8206;No
500;03/01/2020;238927;95;33;1601;No
502;03/01/2020;925116;104;41;3258;Yes
506;03/01/2020;493626;34;13;3286;No
515;03/01/2020;456752;1;13;2154;No
516;03/01/2020;455924;92;43;8593;No
518;03/01/2020;127791;83;2;767;No
520;03/01/2020;273232;11;20;4591;No
521;03/01/2020;183943;85;7;2500;No
522;03/01/2020;400990;96;43;7408;No
529;03/01/2020;634049;70;27;258;No
530;03/01/2020;583675;0;47;2966;No
534;03/01/2020;113134;37;3;221;No
540;03/01/2020;817280;54;17;1720;No
543;03/01/2020;415373;63;27;8299;No
549;03/01/2020;616511;27;23;6919;No
558;03/01/2020;283264;35;13;4125;No
559;03/01/2020;893666;36;33;10194;No
563;03/01/2020;658408;90;15;9299;No
569;03/01/2020;123749;9;4;10432;No
570;03/01/2020;268223;37;14;5834;No
576;03/01/2020;248238;32;3;6104;Yes
577;03/01/2020;459465;52;33;7360;No
583;03/01/2020;439239;60;26;6942;No
586;03/01/2020;989459;23;44;6471;No
587;03/01/2020;839526;78;5;65;No
592;03/01/2020;797095;65;29;125;No
595;03/01/2020;724349;33;24;8435;No
597;03/01/2020;878215;73;33;2541;Yes
603;04/01/2020;101722;29;49;5951;No
612;04/01/2020;396640;42;52;3377;No
613;04/01/2020;630565;42;27;5841;Yes
617;04/01/2020;496141;38;16;3075;No
619;04/01/2020;459918;6;39;1615;No
628;04/01/2020;148854;82;2;3810;Yes
630;04/01/2020;476773;83;22;7107;No
631;04/01/2020;135639;34;42;1931;No
637;04/01/2020;853875;62;16;3496;Yes
639;04/01/2020;613059;6;35;8368;No
642;04/01/2020;709696;18;9;4396;No
645;04/01/2020;449646;64;2;8611;No
655;04/01/2020;249827;27;14;8519;Yes
659;04/01/2020;701388;90;28;6950;No
660;04/01/2020;379221;88;34;6031;Yes
667;04/01/2020;836794;64;35;992;No
671;04/01/2020;803905;48;39;10064;No
674;04/01/2020;748838;22;17;1365;Yes
679;04/01/2020;246172;95;32;1797;No
680;04/01/2020;682850;4;9;3916;No
705;04/01/2020;876575;74;24;7127;No
711;04/01/2020;929243;43;9;6550;No
714;04/01/2020;490333;70;16;6246;No
719;04/01/2020;573662;32;47;8436;No
722;04/01/2020;799972;23;5;2208;No
726;04/01/2020;584143;31;39;7373;No
734;04/01/2020;537724;6;3;5319;Yes
737;04/01/2020;716525;8;23;9212;No
743;04/01/2020;663091;61;46;1193;Yes
751;04/01/2020;558432;67;24;5366;No
755;04/01/2020;886325;90;30;292;No
756;04/01/2020;228121;33;28;8477;No
759;04/01/2020;754901;71;26;4293;No
762;04/01/2020;616200;86;45;9719;No
763;04/01/2020;697227;3;43;8512;Yes
764;04/01/2020;625117;36;9;10799;No
765;04/01/2020;904161;55;1;4226;No
766;04/01/2020;460911;73;25;5220;No
773;04/01/2020;948806;4;15;8236;Yes
781;04/01/2020;982832;86;4;605;No
782;04/01/2020;256153;32;16;3021;No
784;04/01/2020;657277;14;40;8704;No
787;04/01/2020;335661;16;33;6053;No
792;04/01/2020;349093;33;15;512;No
797;04/01/2020;109630;25;11;123;No
798;04/01/2020;747375;7;49;387;No
801;05/01/2020;632952;23;38;6222;No
809;05/01/2020;883518;75;27;6090;No
810;05/01/2020;829568;38;11;1938;No
811;05/01/2020;823579;65;40;6555;No
813;05/01/2020;760347;73;50;9064;No
814;05/01/2020;773490;31;36;9595;No
820;05/01/2020;171699;54;25;951;No
845;05/01/2020;266584;31;23;7863;No
849;05/01/2020;787380;49;35;7730;No
857;05/01/2020;264964;66;8;3783;No
859;05/01/2020;871852;12;18;9309;No
866;05/01/2020;339355;72;37;5884;No
870;05/01/2020;558155;80;41;5298;No
872;05/01/2020;377428;30;3;2617;No
879;05/01/2020;935579;48;17;8882;No
887;05/01/2020;848380;42;1;7401;No
889;05/01/2020;392908;89;24;6070;No
891;05/01/2020;742611;74;16;4324;No
892;05/01/2020;669522;89;15;2981;No
901;05/01/2020;228641;69;25;884;No
905;05/01/2020;386757;96;5;63;No
915;05/01/2020;963215;62;9;8239;No
918;05/01/2020;540673;32;38;2252;Yes
922;05/01/2020;340173;50;5;6939;No
927;05/01/2020;192676;45;3;2519;Yes
932;05/01/2020;927464;14;18;6161;No
938;05/01/2020;578604;91;44;6466;No
939;05/01/2020;705235;12;41;890;No
940;05/01/2020;375305;2;39;2843;Yes
941;05/01/2020;159680;30;18;5649;No
942;05/01/2020;232402;20;34;947;No
944;05/01/2020;584880;31;10;8259;No
946;05/01/2020;255159;7;42;7150;No
947;05/01/2020;108899;87;24;1788;No
956;05/01/2020;737512;57;20;5654;No
961;05/01/2020;924285;77;24;1135;No
968;05/01/2020;560480;55;4;7053;No
977;05/01/2020;684317;4;7;746;Yes
978;05/01/2020;870376;17;45;738;No
987;05/01/2020;651287;2;42;7531;No
990;05/01/2020;138460;24;42;8085;No
992;05/01/2020;139520;67;29;837;Yes
995;05/01/2020;695989;70;17;9308;Yes
997;05/01/2020;126707;39;19;5328;No
1001;06/01/2020;477437;42;41;6704;Yes
1007;06/01/2020;534897;38;12;1151;No
1011;06/01/2020;662699;46;31;8805;Yes
1018;06/01/2020;326353;52;10;135;No
1022;06/01/2020;197948;24;28;44;No
1024;06/01/2020;838843;72;40;10552;No
1026;06/01/2020;554851;35;12;1828;No
1029;06/01/2020;886347;20;36;700;Yes
1032;06/01/2020;845059;25;48;3952;No
1033;06/01/2020;588064;73;1;8910;No
1034;06/01/2020;865053;3;40;5693;No
1037;06/01/2020;154751;86;25;7310;No
1044;06/01/2020;326386;86;2;3517;Yes
1045;06/01/2020;661001;84;46;7346;Yes
1050;06/01/2020;239038;78;0;6722;No
1051;06/01/2020;112730;58;10;10084;No
1054;06/01/2020;144954;24;40;6781;No
1064;06/01/2020;932054;93;28;1299;No
1066;06/01/2020;638133;36;11;7184;Yes
1070;06/01/2020;772685;40;13;4866;Yes
1077;06/01/2020;378100;29;11;5575;No
1083;06/01/2020;111014;67;36;2224;No
1087;06/01/2020;686616;81;1;7015;Yes
1092;06/01/2020;513540;58;48;1989;No
1096;06/01/2020;285756;3;37;1157;Yes
1098;06/01/2020;298497;7;6;2291;No
1100;06/01/2020;336133;62;26;7297;No
1101;06/01/2020;455773;4;26;7647;No
1108;06/01/2020;979495;66;3;5969;No
1124;06/01/2020;144871;76;26;7093;Yes
1125;06/01/2020;832803;55;6;7223;No
1126;06/01/2020;270729;55;14;1099;No
1131;06/01/2020;376113;93;16;406;No
1144;06/01/2020;857543;37;20;2678;No
1145;06/01/2020;827601;30;1;3117;No
1149;06/01/2020;267143;75;18;6625;No
1151;06/01/2020;421479;9;9;9397;No
1153;06/01/2020;695040;32;7;6614;No
1162;06/01/2020;899780;14;16;4864;No
1164;06/01/2020;115320;66;49;9522;No
1168;06/01/2020;900984;37;24;2574;No
1174;06/01/2020;112116;75;0;7010;No
1180;06/01/2020;952159;17;6;4100;No
1185;06/01/2020;872517;11;43;7839;No
1186;06/01/2020;677796;58;36;2238;No
1189;06/01/2020;716674;6;39;957;No
1191;06/01/2020;365724;64;16;3612;No
1193;06/01/2020;781558;85;33;112;No
1201;07/01/2020;661389;34;20;6383;Yes
1205;07/01/2020;363976;20;23;6105;No
1207;07/01/2020;685708;4;17;909;No
1208;07/01/2020;185942;83;27;3569;No
1209;07/01/2020;887259;93;8;5773;No
1212;07/01/2020;638754;66;43;863;No
1216;07/01/2020;197053;36;8;3752;No
1218;07/01/2020;634634;29;13;10256;No
1219;07/01/2020;607748;90;8;2308;No
1220;07/01/2020;800440;12;0;2018;No
1221;07/01/2020;724770;78;0;5027;No
1223;07/01/2020;527179;66;23;10061;No
1235;07/01/2020;915832;39;21;7788;No
1245;07/01/2020;571984;70;24;1030;No
1246;07/01/2020;967366;63;38;1255;No
1247;07/01/2020;280904;22;2;4138;No
1249;07/01/2020;584622;15;9;1604;No
1257;07/01/2020;389892;72;21;8488;No
1267;07/01/2020;612647;57;13;1518;No
1268;07/01/2020;407180;64;30;7414;No
1269;07/01/2020;995362;10;47;2469;No
1273;07/01/2020;646990;49;22;5587;No
1276;07/01/2020;400793;31;38;3093;No
1282;07/01/2020;513119;77;45;8471;No
1285;07/01/2020;779595;11;9;3179;No
1288;07/01/2020;876830;43;16;2660;No
1291;07/01/2020;442214;96;46;1299;No
1293;07/01/2020;958836;26;8;34;No
1300;07/01/2020;389546;31;8;9190;No
1302;07/01/2020;412557;24;16;5456;No
1308;07/01/2020;662964;27;33;6391;No
1315;07/01/2020;251691;86;5;5307;No
1321;07/01/2020;408649;92;37;7834;No
1324;07/01/2020;744508;2;42;1539;Yes
1325;07/01/2020;448451;5;23;4131;No
1330;07/01/2020;592749;33;7;6044;Yes
1331;07/01/2020;602699;57;3;5018;No
1334;07/01/2020;774710;98;23;3958;Yes
1337;07/01/2020;656312;57;31;7372;No
1342;07/01/2020;354110;22;23;9158;Yes
1343;07/01/2020;182258;69;2;4096;No
1347;07/01/2020;781673;11;26;5006;No
1355;07/01/2020;140373;73;16;3850;Yes
1356;07/01/2020;252066;66;7;1087;Yes
1363;07/01/2020;736616;66;1;1524;No
1366;07/01/2020;647742;41;20;7549;No
1369;07/01/2020;331427;59;14;10680;No
1371;07/01/2020;844575;71;26;6174;No
1376;07/01/2020;148627;85;2;5919;No
1377;07/01/2020;564881;85;19;9646;No
1378;07/01/2020;428348;23;40;7442;No
1381;07/01/2020;761986;41;27;6784;No
1383;07/01/2020;693165;5;29;8411;No
1384;07/01/2020;979855;59;19;8941;No
1392;07/01/2020;659199;91;29;6135;Yes
1393;07/01/2020;703151;7;44;1152;No
1394;07/01/2020;272371;92;12;8526;No
1395;07/01/2020;589592;7;5;8511;Yes
1396;07/01/2020;292700;81;42;6035;No
1400;08/01/2020;821389;58;26;7207;No
1401;08/01/2020;523780;24;16;2504;No
1408;08/01/2020;552668;59;42;7432;Yes
1409;08/01/2020;523609;100;21;1108;No
1420;08/01/2020;736825;10;44;2572;No
1423;08/01/2020;366771;22;38;7426;No
1427;08/01/2020;964462;99;7;8502;No
1442;08/01/2020;638610;100;44;1407;No
1449;08/01/2020;812707;77;8;1599;No
1450;08/01/2020;366424;42;1;1508;No
1451;08/01/2020;170231;56;4;4956;Yes
1464;08/01/2020;629642;9;35;1021;No
1467;08/01/2020;146126;61;24;9917;No
1471;08/01/2020;921527;20;47;46;No
1482;08/01/2020;589689;41;19;10240;No
1484;08/01/2020;587173;44;40;8645;Yes
1493;08/01/2020;911314;9;25;9170;No
1494;08/01/2020;908405;78;37;2379;No
1497;08/01/2020;750444;2;1;3443;No
1499;08/01/2020;917328;79;6;2748;Yes
1501;08/01/2020;506994;83;48;3923;No
1502;08/01/2020;319458;46;21;2470;No
1503;08/01/2020;909213;77;3;6300;No
1510;08/01/2020;117599;67;10;6557;Yes
1514;08/01/2020;592937;56;24;7354;Yes
1517;08/01/2020;430792;92;19;158;No
1521;08/01/2020;850511;61;10;4455;Yes
1527;08/01/2020;753165;90;1;1916;No
1528;08/01/2020;719908;0;32;3658;No
1534;08/01/2020;896897;22;23;5261;Yes
1535;08/01/2020;760804;77;36;1027;Yes
1549;08/01/2020;689803;32;5;4123;No
1552;08/01/2020;307180;52;49;1076;No
1557;08/01/2020;928195;78;38;2043;No
1560;08/01/2020;597369;33;35;5811;No
1561;08/01/2020;677646;80;24;4445;No
1564;08/01/2020;370594;7;25;10005;No
1566;08/01/2020;890438;92;42;5134;No
1568;08/01/2020;479323;27;6;9041;No
1571;08/01/2020;872686;22;17;8814;No
1576;08/01/2020;158787;81;45;1654;No
1579;08/01/2020;190639;96;5;9076;No
1581;08/01/2020;813931;59;5;5121;No
1583;08/01/2020;164747;77;20;1655;No
1588;08/01/2020;562577;96;0;3275;No
1597;08/01/2020;101280;104;38;8133;No
1598;08/01/2020;103633;17;23;2323;No
1599;08/01/2020;150109;41;35;7877;No
1601;09/01/2020;608809;71;0;9581;No
1607;09/01/2020;104744;51;26;9132;No
1608;09/01/2020;594148;33;29;1802;No
1610;09/01/2020;237757;81;28;9909;Yes
1611;09/01/2020;460034;60;28;3845;No
1615;09/01/2020;586263;60;18;6725;No
1618;09/01/2020;497575;42;9;7344;No
1621;09/01/2020;756983;19;1;3710;No
1624;09/01/2020;268833;44;2;1128;Yes
1631;09/01/2020;662696;13;27;4533;No
1634;09/01/2020;671936;17;11;7700;No
1640;09/01/2020;459316;13;25;1964;No
1642;09/01/2020;498238;83;36;8413;No
1648;09/01/2020;347045;100;44;4985;No
1651;09/01/2020;238923;51;37;8957;No
1656;09/01/2020;565887;87;4;3668;Yes
1657;09/01/2020;474046;31;1;4539;No
1663;09/01/2020;369262;40;43;6038;No
1664;09/01/2020;133372;5;37;5005;Yes
1666;09/01/2020;134902;40;33;7345;No
1667;09/01/2020;388500;84;20;7392;Yes
1673;09/01/2020;799941;98;15;1633;Yes
1678;09/01/2020;589251;29;14;2962;No
1679;09/01/2020;424173;73;22;5342;No
1681;09/01/2020;824772;7;28;7094;No
1683;09/01/2020;859552;53;38;6923;No
1693;09/01/2020;809211;49;28;1414;No
1695;09/01/2020;118956;45;31;4414;No
1699;09/01/2020;680588;91;11;6524;No
1706;09/01/2020;755010;10;34;133;No
1708;09/01/2020;888553;39;44;7020;No
1709;09/01/2020;871469;44;38;8344;No
1710;09/01/2020;871245;50;20;1543;No
1712;09/01/2020;874468;86;7;4307;No
1714;09/01/2020;530365;36;14;4015;No
1720;09/01/2020;336151;9;2;55;No
1725;09/01/2020;869024;73;34;2954;Yes
1726;09/01/2020;811253;22;32;8527;No
1730;09/01/2020;121091;19;32;7224;No
1735;09/01/2020;104244;69;36;1742;No
1737;09/01/2020;464629;41;12;7582;No
1742;09/01/2020;401050;29;22;8163;No
1743;09/01/2020;168085;86;28;8956;No
1745;09/01/2020;358200;65;23;8297;No
1751;09/01/2020;712546;30;39;2101;No
1753;09/01/2020;770683;11;15;92;No
1754;09/01/2020;530754;38;7;5067;No
1758;09/01/2020;191368;18;51;9349;No
1760;09/01/2020;449657;101;35;5779;No
1761;09/01/2020;122225;65;39;1896;No
1762;09/01/2020;833124;74;1;7248;No
1763;09/01/2020;907853;45;38;6081;No
1770;09/01/2020;932707;18;10;3069;No
1772;09/01/2020;318107;54;1;8176;No
1774;09/01/2020;267012;39;37;5375;Yes
1777;09/01/2020;816994;0;39;7111;No
1785;09/01/2020;159508;10;10;10487;No
1787;09/01/2020;737677;90;23;1619;No
1788;09/01/2020;237287;81;1;9015;No
1795;09/01/2020;159796;47;14;1248;No
1797;09/01/2020;557988;3;37;3913;No
1800;10/01/2020;661841;4;9;8864;No
1811;10/01/2020;967256;58;12;5137;No
1812;10/01/2020;166666;12;8;4122;No
1813;10/01/2020;161521;45;34;8640;No
1816;10/01/2020;209162;44;4;2556;No
1821;10/01/2020;909925;88;29;6922;No
1824;10/01/2020;359098;36;31;8536;No
1825;10/01/2020;504334;2;31;6168;Yes
1834;10/01/2020;137052;99;18;2818;No
1835;10/01/2020;747805;21;27;8029;No
1836;10/01/2020;294722;84;25;5630;No
1837;10/01/2020;827372;83;29;3597;Yes
1838;10/01/2020;390375;65;43;2389;Yes
1840;10/01/2020;118529;95;44;3045;No
1841;10/01/2020;508585;65;32;6392;No
1844;10/01/2020;372177;63;36;7530;No
1846;10/01/2020;871979;83;14;7610;No
1847;10/01/2020;622479;47;30;3123;No
1855;10/01/2020;680961;52;31;2924;Yes
1866;10/01/2020;696953;52;47;249;No
1867;10/01/2020;662726;22;16;7972;No
1868;10/01/2020;825431;88;29;3465;No
1869;10/01/2020;543221;36;25;6660;No
1870;10/01/2020;219837;101;28;1211;No
1872;10/01/2020;214281;108;25;5509;No
1879;10/01/2020;932582;26;12;10425;No
1882;10/01/2020;881263;89;41;6416;No
1885;10/01/2020;616680;82;21;2145;Yes
1900;10/01/2020;742243;51;27;10138;No
1910;10/01/2020;991807;91;44;8163;Yes
1916;10/01/2020;154920;68;37;2916;No
1919;10/01/2020;574253;16;8;6071;No
1924;10/01/2020;219751;87;35;5307;No
1930;10/01/2020;446707;29;17;2253;Yes
1933;10/01/2020;803897;79;22;8679;No
1939;10/01/2020;475724;25;14;8292;No
1941;10/01/2020;224344;90;48;7715;No
1944;10/01/2020;468939;2;1;6499;No
1961;10/01/2020;563034;22;28;8535;No
1966;10/01/2020;791360;4;3;4717;No
1975;10/01/2020;152524;12;29;3136;No
1976;10/01/2020;697557;52;16;8894;No
1984;10/01/2020;469908;38;38;991;No
1993;10/01/2020;199291;67;45;4548;No
1998;10/01/2020;500372;45;17;108;No
2001;11/01/2020;435246;63;2;10097;Yes
2013;11/01/2020;571308;18;49;7613;No
2015;11/01/2020;906539;27;38;1498;No
2016;11/01/2020;825602;17;52;9605;No
2017;11/01/2020;378267;53;29;2560;No
2018;11/01/2020;342766;41;43;6203;No
2023;11/01/2020;275328;55;28;2708;Yes
2028;11/01/2020;147629;80;2;8129;Yes
2029;11/01/2020;864494;60;2;8578;No
2032;11/01/2020;662371;57;38;9249;No
2040;11/01/2020;438330;31;21;4759;No
2046;11/01/2020;984969;50;16;3202;Yes
2061;11/01/2020;397216;35;38;2498;No
2070;11/01/2020;126002;89;35;7589;No
2076;11/01/2020;137077;66;50;6962;No
2082;11/01/2020;463408;95;5;9672;Yes
2083;11/01/2020;443904;72;24;9227;Yes
2094;11/01/2020;892603;95;50;3056;No
2095;11/01/2020;461861;85;8;8659;No
2100;11/01/2020;364700;99;19;326;No
2101;11/01/2020;669900;86;0;3235;No
2103;11/01/2020;281344;44;12;7937;No
2106;11/01/2020;699114;9;29;9628;No
2111;11/01/2020;257908;101;25;7487;No
2117;11/01/2020;880815;32;16;8263;No
2127;11/01/2020;591704;3;40;1539;Yes
2128;11/01/2020;423110;102;31;1923;No
2134;11/01/2020;330350;76;17;7500;No
2136;11/01/2020;609334;9;34;6153;No
2138;11/01/2020;832085;20;21;7454;No
2139;11/01/2020;705523;69;15;3805;No
2140;11/01/2020;148163;49;16;2386;No
2141;11/01/2020;967328;90;24;4335;No
2145;11/01/2020;730269;99;9;7431;No
2147;11/01/2020;201775;39;37;10056;No
2150;11/01/2020;189648;23;49;8497;No
2159;11/01/2020;403765;83;9;4648;No
2160;11/01/2020;640654;68;10;4192;No
2161;11/01/2020;958631;104;19;8049;No
2165;11/01/2020;489176;76;44;8645;No
2170;11/01/2020;506520;17;1;8909;No
2172;11/01/2020;509936;42;23;1028;Yes
2174;11/01/2020;469364;40;44;7008;No
2175;11/01/2020;568243;83;20;1596;No
2181;11/01/2020;930719;48;6;2381;No
2184;11/01/2020;606098;78;37;3338;Yes
2187;11/01/2020;450051;6;9;1498;No
2198;11/01/2020;708689;57;6;4287;No
2205;12/01/2020;201285;39;34;9169;Yes
2208;12/01/2020;868940;78;31;6764;No
2224;12/01/2020;876313;49;43;2664;No
2225;12/01/2020;477446;90;52;9097;No
2229;12/01/2020;239863;13;33;3428;Yes
2231;12/01/2020;731409;3;49;5973;No
2233;12/01/2020;456449;12;30;8143;No
2238;12/01/2020;235987;20;46;3607;No
2243;12/01/2020;276324;103;23;6221;No
2251;12/01/2020;887239;68;20;2029;Yes
2253;12/01/2020;318894;24;4;7735;No
2256;12/01/2020;454417;29;34;2343;No
2265;12/01/2020;389756;52;28;4314;Yes
2268;12/01/2020;977175;57;21;7229;No
2275;12/01/2020;578543;43;39;6000;No
2278;12/01/2020;881163;93;50;10133;No
2283;12/01/2020;848518;20;33;3790;No
2288;12/01/2020;128605;42;1;8603;No
2290;12/01/2020;914904;72;2;3542;No
2291;12/01/2020;979037;2;47;3094;No
2296;12/01/2020;966865;66;32;6522;No
2298;12/01/2020;480097;12;47;516;Yes
2300;12/01/2020;740841;89;35;3947;No
2309;12/01/2020;386835;68;47;8555;Yes
2311;12/01/2020;394483;62;12;4643;Yes
2320;12/01/2020;469838;90;4;7866;No
2322;12/01/2020;307340;3;46;3204;Yes
2325;12/01/2020;955421;40;23;4;No
2326;12/01/2020;299320;23;30;9221;No
2328;12/01/2020;195337;41;22;2847;No
2329;12/01/2020;424348;62;12;5460;No
2332;12/01/2020;657892;83;21;6179;No
2335;12/01/2020;747937;32;17;6176;No
2338;12/01/2020;974237;47;11;5503;No
2349;12/01/2020;927086;68;18;4953;No
2360;12/01/2020;224802;25;36;6586;Yes
2361;12/01/2020;866233;14;30;8213;Yes
2366;12/01/2020;601930;36;18;416;No
2369;12/01/2020;721899;76;33;9139;No
2372;12/01/2020;351103;58;33;4442;Yes
2380;12/01/2020;478612;54;32;694;No
2383;12/01/2020;351051;83;4;2920;No
2384;12/01/2020;420903;81;23;2727;No
2387;12/01/2020;655478;87;48;546;Yes
2390;12/01/2020;265190;43;37;8102;Yes
2397;12/01/2020;187833;46;14;1138;Yes
2401;13/01/2020;861087;82;35;543;No
2403;13/01/2020;147850;1;23;338;No
2405;13/01/2020;613722;76;44;38;No
2407;13/01/2020;480394;33;49;1411;Yes
2408;13/01/2020;234963;90;3;10726;No
2411;13/01/2020;423471;64;3;9869;No
2419;13/01/2020;532560;92;35;9037;No
2427;13/01/2020;815583;99;21;7380;No
2430;13/01/2020;451280;56;22;2823;Yes
2431;13/01/2020;871777;90;44;3381;No
2438;13/01/2020;712163;70;14;1695;No
2439;13/01/2020;489326;106;26;3465;Yes
2440;13/01/2020;865703;59;32;2394;No
2442;13/01/2020;624883;50;38;8426;No
2443;13/01/2020;231481;39;13;66;Yes
2444;13/01/2020;443028;2;21;1524;No
2452;13/01/2020;224392;25;32;2909;Yes
2455;13/01/2020;763928;6;42;241;No
2458;13/01/2020;875873;37;1;260;Yes
2460;13/01/2020;382916;64;26;5188;No
2469;13/01/2020;296220;83;44;8455;No
2480;13/01/2020;740668;78;48;8904;Yes
2482;13/01/2020;384243;12;6;2968;No
2484;13/01/2020;618358;48;49;5059;No
2486;13/01/2020;715640;61;46;2661;Yes
2503;13/01/2020;666373;23;3;8488;No
2506;13/01/2020;640547;77;6;4346;No
2507;13/01/2020;994346;44;20;125;No
2510;13/01/2020;778666;28;31;3692;Yes
2513;13/01/2020;102140;9;44;8945;No
2518;13/01/2020;555739;55;4;5040;No
2526;13/01/2020;755420;32;13;6950;No
2527;13/01/2020;558037;25;29;1495;No
2530;13/01/2020;146963;22;53;9085;No
2531;13/01/2020;675320;92;16;4529;No
2534;13/01/2020;474265;61;25;1907;No
2537;13/01/2020;269276;53;36;561;No
2539;13/01/2020;886638;76;36;1993;No
2541;13/01/2020;688611;57;38;5507;No
2542;13/01/2020;778683;100;15;2127;No
2549;13/01/2020;569322;4;36;5761;No
2555;13/01/2020;850504;89;38;749;Yes
