cap_id;num_dependents;estimated_salary
1598;4;85040
1599;1;133956
1601;1;84293
1607;0;68322
1608;2;26758
1610;1;53192
1611;1;126809
1615;0;86561
1618;4;137709
1621;4;36779
1624;2;116916
1631;0;115525
1634;2;41880
1640;2;104488
1642;2;83197
1648;1;91392
1651;3;105119
1656;2;21310
1657;2;89259
1663;0;83981
1664;4;31136
1666;3;146862
1667;2;117023
1673;3;93665
1678;1;42777
1679;0;58446
1681;1;30029
1683;3;102002
1693;1;115970
1695;1;79885
1699;4;79977
1706;1;55788
1708;3;100463
1709;3;148308
1710;2;101996
1712;1;20974
1714;4;41512
1720;3;98391
1725;4;22516
1726;4;146140
1730;0;25944
1735;2;109879
1737;3;117908
1742;3;53423
1743;2;103559
1745;0;105087
1751;3;86563
1753;4;43120
1754;1;62747
1758;4;98701
1760;1;102586
1761;3;50216
1762;2;44649
1763;3;60360
1770;0;52683
1772;2;66061
1774;3;20914
1777;0;63047
1785;1;78578
1787;2;108425
1788;2;80209
1795;0;34446
1797;2;73778
1800;4;24379
1811;2;116175
1812;0;107317
1813;0;48517
1816;1;85810
1821;1;76994
1824;2;38273
1825;1;49247
1834;0;149083
1835;2;141170
1836;1;135675
1837;1;125909
1838;0;120501
1840;4;40358
1841;0;24617
1844;2;39071
1846;0;108903
1847;2;110486
1855;2;111016
1866;4;71362
1867;0;138991
1868;1;50693
1869;1;32959
1870;0;96935
1872;3;72349
1879;0;102745
1882;1;122503
1885;2;103869
1900;2;141815
1910;4;110129
1916;1;86599
1919;2;83998
1924;3;70218
1930;3;84130
1933;4;38804
1939;1;83902
1941;1;116168
1944;1;130018
1961;3;77004
1966;2;148772
1975;3;62604
1976;3;96281
1984;2;77272
1993;3;65190
1998;0;37767
2001;3;25768
2013;4;115425
2015;4;125776
2016;4;51407
2017;1;47668
2018;0;141793
2023;0;126393
2028;1;61849
2029;2;74113
2032;4;66695
2040;2;26579
2046;2;51570
2061;2;44681
2070;3;145384
2076;0;46532
2082;3;101936
2083;3;120592
2094;0;122724
2095;1;43176
2100;2;33382
2101;2;112130
2103;2;121521
2106;0;27766
2111;1;96846
2117;4;62160
2127;3;84946
2128;0;98616
2134;0;44080
2136;3;86540
2138;0;86867
2139;0;94467
2140;1;147495
2141;0;114117
2145;3;145822
2147;4;58400
2150;0;132690
2159;1;46047
2160;0;85468
2161;0;108172
2165;2;84433
2170;3;79551
2172;3;60498
2174;4;92652
2175;3;147795
2181;1;76827
2184;2;69521
2187;1;120073
2198;4;91832
2205;1;109445
2208;1;135983
2224;3;76243
2225;2;143507
2229;1;126492
2231;1;31064
2233;1;126911
2238;4;140009
2243;4;41232
2251;0;121266
2253;4;23458
2256;2;107718
2265;0;142319
2268;2;53317
2275;3;27160
2278;0;63489
2283;0;83166
2288;0;146462
2290;0;116367
2291;0;67250
2296;2;64418
2298;1;149995
2300;1;92542
2309;3;140806
2311;4;87079
2320;1;58493
2322;3;45626
2325;1;73419
2326;4;33555
2328;2;74958
2329;3;52710
2332;0;80395
2335;3;75534
2338;1;114333
2349;3;58876
2360;0;50759
2361;3;133950
2366;0;146735
2369;2;136727
2372;1;28079
2380;0;29329
2383;2;65808
2384;4;99270
2387;2;142045
2390;4;144769
2397;3;73259
2401;3;71573
2403;0;21756
2405;3;58879
2407;3;31058
2408;3;130144
2411;2;88718
2419;2;56268
2427;4;31206
2430;3;48909
2431;2;61190
2438;4;88844
2439;3;97989
2440;2;92884
2442;2;34115
2443;1;68995
2444;1;72795
2452;1;115051
2455;1;133061
2458;3;133342
2460;2;105195
2469;4;53781
2480;4;88056
2482;0;101306
2484;4;74213
2486;4;75346
2503;2;60034
2506;3;35604
2507;1;106764
2510;2;132386
2513;0;132454
2518;0;100722
2526;4;75836
2527;1;132328
2530;2;98052
2531;1;71412
2534;0;87910
2537;2;55410
2539;1;32944
2541;0;148581
2542;1;133303
2549;0;22165
2555;0;42233
2558;3;135330
2567;2;108791
2570;3;90420
2584;2;142992
2587;1;66161
2589;1;62257
2590;0;45226
2594;3;97047
2603;0;33616
2604;2;124448
2605;1;69597
2606;2;133405
2607;4;26696
2608;3;101212
2620;0;63896
2622;3;80769
2626;4;96173
2634;0;56055
2639;4;126350
2640;3;20601
2644;1;86009
2645;1;60301
2651;2;106450
2654;2;37679
2655;1;95786
2665;2;38720
2670;1;134595
2673;3;65462
2681;0;40710
2684;0;54912
2689;0;118842
2691;3;121763
2692;0;91550
2702;3;47323
2704;0;21746
2707;2;125194
2711;3;91771
2716;4;99182
2723;2;122804
2724;1;115520
2726;1;53488
2730;3;146479
2735;0;51299
2736;0;146538
2740;1;57047
2742;2;127002
2745;4;35579
2748;2;99870
2752;4;39158
2755;0;37280
2758;3;91372
2765;0;125279
2776;4;76918
2777;0;29070
2779;2;43152
2780;0;109565
2782;0;140394
2784;0;73396
2785;3;70059
2787;1;61242
2788;0;138510
2793;1;48617
2795;3;108081
2801;3;58761
2803;2;81569
2804;1;141030
2809;4;129915
2814;0;106968
2820;0;46979
2825;0;105424
2828;3;121967
2829;2;76179
2832;1;71641
2833;1;81051
2834;0;68127
2835;3;106282
2845;4;107956
2846;1;57230
2857;3;22589
2859;1;129611
2861;3;105118
2873;2;133921
2881;1;43299
2883;4;100346
2891;1;102393
2894;2;106620
2899;3;91927
2900;0;127716
2908;4;75355
2916;3;84394
2923;2;133059
2925;4;144758
2932;0;42456
2939;2;82541
2940;4;69237
2948;2;67407
2949;3;147111
2950;1;63449
2953;3;46202
2957;1;34910
2959;0;104757
2961;0;64590
2962;2;140756
2963;1;34844
2964;0;109012
2965;1;81437
2971;3;137516
2980;3;109259
2998;3;45362
3010;0;119353
3015;0;81790
3016;4;84740
3018;3;96911
3025;0;45538
3030;1;88822
3032;2;148368
3042;3;119434
3045;1;95234
3057;1;27796
3058;1;34727
3061;4;90744
3063;2;122140
3068;1;102049
3073;3;41411
3078;2;105777
3080;4;108072
3081;3;125603
3091;2;96988
3096;2;146727
3103;0;74890
3104;2;75997
3105;2;39994
3107;4;117148
3108;4;102505
3112;2;40051
3116;2;120744
3122;3;78705
3130;0;79913
3131;4;37710
3140;1;82088
3155;4;52214
3159;3;25132
3168;3;145408
3169;4;138433
3170;1;114414
3172;1;137391
3175;3;109419
3176;2;97090
3180;3;143442
3195;1;60824
3200;0;141206
3203;2;102342
3207;1;57397
3210;0;83761
3215;2;146516
3226;1;116126
3230;1;55184
3233;2;129543
3246;3;48859
3248;1;137746
3251;4;121569
3252;1;105961
3253;4;142065
3256;3;25295
3257;0;48643
3264;0;32847
3265;0;27728
3266;0;113795
3271;4;64426
3278;4;139968
3283;1;38363
3288;0;90824
3291;4;95776
3292;1;27599
3296;1;39499
3303;2;97851
3307;0;50802
3308;1;120027
3319;1;86310
3333;2;137933
3338;0;96291
3341;3;101127
3342;1;113178
3343;2;78578
3344;4;73704
3348;1;105548
3349;0;83049
3350;3;90574
3352;0;84184
3370;2;140896
3371;0;127374
3383;1;93729
3384;3;38347
3388;2;48297
3394;3;39725
3395;4;32525
3401;0;38576
3410;2;130716
3416;2;80949
3417;1;120116
3431;4;119871
3434;2;34950
3438;0;54528
3458;4;26687
3461;2;23483
3463;4;146408
3467;1;27135
3474;1;96732
3480;4;123438
3481;1;119061
3482;2;45041
3485;3;105718
3487;2;100374
3489;2;46596
3494;2;78190
3501;0;78179
3505;4;77523
3524;0;58955
3527;0;91936
3532;3;64833
3536;1;38087
3543;1;72792
3545;3;133379
3546;2;25807
3550;3;116527
3552;4;124131
3556;1;92386
3559;4;134659
3561;1;88320
3569;0;43645
3571;1;78713
3572;0;108006
3575;1;58294
3582;1;135974
3587;2;71346
3589;2;143743
3594;4;78192
3598;1;110731
3599;4;96619
3603;1;87079
3604;2;54661
3605;0;50077
3608;2;128372
3610;4;63194
3612;4;100668
3622;0;91501
3624;3;122113
3625;4;109988
3626;4;142309
3634;2;25712
3651;4;122036
3653;4;99538
3654;4;38176
3655;0;108982
3669;1;131564
3671;0;130676
3674;0;149004
3684;4;115335
3689;2;102802
3691;0;28448
3692;0;20071
3701;4;34517
3705;3;24127
3706;0;60350
3708;1;134220
3709;3;145361
3712;2;20922
3713;0;137886
3714;4;130491
3717;3;44652
3719;4;31910
3735;4;78806
3740;3;36963
3747;1;112487
3751;0;58510
3759;0;21288
3761;1;46586
3762;2;114045
3765;3;72602
3766;1;45016
3767;4;28566
3768;4;118494
3772;0;98189
3773;3;33915
3774;2;55400
3775;1;64673
3776;4;90386
3782;0;120812
3787;1;52387
3790;4;46869
3791;0;36287
3795;1;25536
3799;0;58348
3802;3;147543
3804;1;106839
3809;4;112920
3813;0;142915
3822;1;43375
3824;4;29570
3825;3;127308
3827;1;136486
3830;1;112314
3834;3;96349
3844;2;78614
3847;0;35708
3848;2;110379
3860;0;38439
3866;4;76716
3869;4;131318
3870;4;144073
3878;0;110890
3880;3;66140
3883;4;137002
3887;1;63343
3891;1;54568
3892;4;146597
3895;0;144530
3901;1;33594
3907;4;67394
3910;2;93348
3914;1;119289
3917;1;105626
3920;2;64867
3926;0;71878
3927;1;98978
3930;0;62918
3934;0;61568
3937;1;127312
3939;4;56572
3942;3;127467
3952;0;110076
3953;4;81264
3955;2;25888
3959;4;146495
3968;3;26304
3969;1;135344
3973;3;104037
3978;3;136888
3984;0;77065
3986;4;72990
3987;3;129121
3991;1;123663
3992;4;48114
3993;1;136030
3995;2;79801
3999;3;125837
4000;2;118466
4008;0;95424
4010;2;120754
4011;4;90811
4022;0;147430
4033;2;97058
4046;0;101963
4051;3;89585
4053;2;52588
4055;3;83252
4057;3;93466
4059;2;28405
4064;1;60531
4072;0;116780
4080;4;126872
4081;4;37741
4087;0;23538
4088;0;97693
4089;1;129501
4090;3;115162
4091;3;145300
4093;4;111282
4094;0;138445
4100;4;107235
4107;4;68666
4112;2;101917
4113;3;98971
4116;3;41279
4119;4;78441
4122;4;52890
4126;3;71878
4131;3;80147
4132;3;72715
4139;0;118268
4141;0;96395
4144;0;71479
4146;4;80613
4147;1;21003
4152;3;95160
4155;2;135609
4156;0;119558
4158;0;21816
4160;2;63391
4166;4;65268
4168;1;115052
4169;1;99250
4173;2;129667
4176;0;73728
4178;3;108359
4190;2;44096
4192;1;83964
4199;3;144516
4205;0;56676
4209;4;56407
4211;4;108778
4216;1;63476
4218;2;28758
4224;3;79093
4225;1;96851
4226;1;72562
4228;3;30103
4230;0;133935
4252;3;143246
4253;0;68736
4254;4;24438
4258;1;95982
4260;4;106165
4266;2;93617
4273;3;62899
4274;3;27958
4275;2;130440
4278;2;89900
4282;1;137936
4287;4;95073
4311;0;115824
4312;1;72665
4314;2;143726
4316;1;86324
4324;4;145173
4335;0;77427
4344;4;24910
4345;3;61543
4346;0;81688
4354;1;54959
4356;0;139282
4360;4;86982
4361;1;68943
4370;1;119533
4371;2;30211
4382;2;132654
4385;2;80220
4386;1;110661
4387;4;93080
4388;3;82304
4391;2;116317
4394;0;138195
4395;1;102111
4396;0;73312
4397;3;113383
4400;3;137053
4401;0;45130
4405;0;119738
4411;0;57301
4414;0;38538
4416;0;111535
4421;3;71326
4422;0;59975
4424;2;125250
4425;3;50570
4426;4;138713
4429;1;111208
4433;3;68832
4434;1;28017
4436;2;39372
4443;0;82705
4449;2;36058
4451;1;73160
4454;0;107542
4456;3;107554
4459;2;137158
4469;2;134762
4472;2;53145
4478;4;58674
4481;1;51397
4483;3;44845
4489;4;64807
4490;3;41885
4494;0;114798
4495;1;85143
4501;0;20115
4524;4;135032
4525;3;64347
4527;2;82216
4528;1;41280
4529;1;36283
4532;4;80220
4546;3;124169
4550;0;56326
4557;1;113278
4559;0;142688
4561;1;32939
4569;4;82336
4573;0;81939
4576;3;97621
4577;4;45334
4582;0;93146
4591;1;113472
4595;3;62965
4606;4;60342
4608;0;29089
4614;3;115884
4619;0;126363
4623;4;114147
4635;3;70189
4637;4;93720
4642;4;73823
4648;0;90280
4650;3;81106
4655;4;22157
4659;4;149594
4665;1;65125
4671;2;142037
4673;1;131103
4675;3;98116
4676;3;144735
4687;0;41317
4690;1;69463
4707;4;127530
4718;3;125788
4719;3;24626
4722;2;133654
4725;2;46288
4726;0;97901
4728;0;36708
4733;3;21780
4735;1;145774
4740;4;115009
4748;3;147613
4750;0;52505
4753;1;123667
4763;3;86215
4768;3;88066
4773;0;73385
4775;0;33616
4782;0;120435
4787;1;101465
4789;4;85259
4791;2;140692
4795;1;147407
4796;4;36093
4802;1;141350
4808;2;50034
4809;0;109843
4811;4;36863
4818;3;35358
4819;3;130434
4820;2;71408
4821;2;99026
4825;2;142510
4826;4;111928
4829;3;138089
4830;1;44383
4831;0;40772
4839;3;82306
4840;1;146113
4842;4;71388
4845;0;61295
4846;4;58710
4850;1;103014
4855;4;148943
4857;3;104830
4858;2;145937
4861;0;137722
4863;4;71139
4864;3;86003
4865;4;129820
4867;0;87930
4868;3;23051
4872;4;136538
4876;3;149079
4877;0;148050
4881;4;36810
4882;3;37804
4888;1;29983
4889;0;99318
4902;3;82621
4903;4;116793
4904;2;138583
4905;0;37707
4909;0;146124
4913;4;85128
4914;2;142955
4915;3;87879
4917;2;145374
4919;1;146364
4921;0;61519
4922;1;111244
4932;2;139164
4936;2;39901
4939;0;135693
4940;0;58182
4945;2;123577
4948;2;115693
4949;4;42451
4953;3;62253
4957;2;22205
4958;1;37829
4964;3;50868
4967;0;117725
4970;3;42316
4973;1;77582
4974;4;34670
4978;1;49673
4980;0;77828
4982;1;111642
4984;0;55769
4985;2;79974
4995;1;29150
4997;1;124626
4998;1;134854
5006;3;95741
5011;4;115318
5024;2;20223
5026;1;98134
5030;0;40415
5035;3;93869
5040;3;94062
5042;4;60622
5044;1;54441
5051;2;108467
5052;3;108551
5053;1;63486
5057;1;131185
5071;1;120576
5075;0;89953
5077;0;100140
5078;2;43511
5082;4;132214
5083;1;67073
5085;3;107197
5103;2;25898
5108;2;51126
5114;3;35625
5115;4;72650
5117;2;118465
5121;4;144558
5124;3;46523
5129;4;49235
5132;1;52788
5134;1;146702
5136;1;32724
5138;2;132174
5140;2;42480
5145;3;79927
5149;4;88327
5158;1;117294
5159;2;90985
5160;3;104671
5164;4;128678
5174;2;77001
5175;2;148599
5176;2;124319
5177;2;133010
5179;2;73239
5182;4;82056
5185;3;96781
5196;3;136270
5199;4;24115
5207;1;118669
5209;2;101463
5210;1;138780
5211;0;137388
5215;2;83849
5217;4;79366
5218;0;21433
5221;2;87070
5223;0;133877
5231;0;52005
5232;2;128572
5233;4;116291
5236;2;57982
5238;2;33341
5241;4;130067
5245;3;36072
5250;2;137449
5254;2;117585
5259;2;81033
5261;2;61436
5265;3;93159
5266;2;60528
5270;3;140399
5277;1;66034
5283;0;137949
5284;4;69411
5289;3;146228
5292;1;111779
5295;0;56300
5300;4;136258
5301;1;39092
5307;4;25006
5317;4;140939
5324;2;139348
5325;1;70525
5326;1;118030
5327;0;45258
5329;3;101634
5330;2;25949
5331;4;100526
5333;0;35582
5335;0;72667
5337;4;121437
5338;1;136401
5339;2;84224
5345;3;123655
5347;2;124225
5356;2;134516
5359;0;93787
5360;0;37996
5361;4;84477
5365;4;149562
5371;2;110980
5380;4;64598
5387;1;59846
5388;3;92754
5391;4;45543
5400;4;135482
5402;2;129734
5416;4;100740
5418;3;50449
5421;0;109566
5425;2;47765
5427;4;96659
5428;1;113871
5431;1;107315
5442;1;83492
5450;0;108770
5456;3;148619
5460;4;84746
5462;0;104378
5467;2;89699
5472;0;85717
5473;3;42747
5474;1;120639
5475;4;38632
5482;2;33859
5483;2;117925
5488;2;127261
5493;0;99468
5494;1;87662
5495;4;29839
5497;0;118279
5509;2;37169
5512;0;81464
5517;4;34280
5520;0;38614
5525;3;140046
5526;3;66209
5528;1;106172
5531;2;148142
5532;3;118166
5539;0;119312
5541;4;116161
5543;4;51147
5544;1;143986
5546;1;59661
5566;2;112149
5572;3;43262
5573;3;101840
5576;2;113230
5581;0;89605
5585;2;36351
5587;1;133894
5591;2;33990
5593;4;72868
5594;3;127496
5601;1;68766
5602;3;104831
5604;0;95936
5607;3;102366
5610;4;128152
5612;4;89270
5613;1;39440
5618;0;138513
5630;0;128725
5631;1;71728
5634;4;96084
5635;4;71147
5637;0;37321
5638;0;138665
5639;0;67939
5642;3;99222
5651;4;96274
5652;2;88911
5660;1;92299
5665;3;138331
5666;4;45225
5668;1;90491
5672;4;138219
5673;0;29750
5675;0;118510
5680;3;31867
5682;1;38358
5683;2;98741
5691;2;90403
5692;2;23448
5693;3;137602
5698;3;101787
5702;1;110582
5705;0;24630
5718;3;114647
5720;0;132612
5727;3;118533
5732;1;111057
5733;1;24961
5735;1;101744
5740;1;32992
5743;2;39946
5744;1;146495
5750;3;145768
5758;3;40872
5759;1;99019
5760;3;33482
5768;2;104827
5770;1;61925
5774;1;131848
5785;4;87561
5796;0;101427
5798;3;107994
5800;0;136957
5801;1;144521
5805;1;148998
5806;0;142251
5810;2;25537
5811;2;124862
5817;0;143601
5822;0;72998
5823;0;45888
5825;3;56084
5827;4;127611
5835;3;77642
5840;1;66526
5849;0;72938
5850;4;63639
5851;4;114622
5860;4;48446
5864;3;147822
5866;1;78645
5868;0;105559
5877;1;60503
5878;0;123817
5885;4;88840
5904;1;23680
5906;1;126352
5917;4;34438
5924;3;36055
5931;4;134882
5934;1;58310
5947;1;117586
5948;2;132847
5949;3;112124
5950;1;38645
5951;3;111554
5954;1;111281
5958;3;98067
5960;4;32044
5963;0;50876
5964;1;80930
5966;0;39027
5985;1;45204
5987;4;23374
5997;3;52999
5998;2;94575
6011;1;44830
6012;3;99321
6020;3;145851
6021;1;126244
6024;4;108202
6025;0;22732
6029;2;74246
6032;1;34531
6038;0;34312
6041;0;39060
6042;0;52413
6043;3;50089
6054;0;52745
6061;3;85542
6064;3;57706
6067;4;138825
6071;4;90295
6078;4;51180
6081;3;92378
6102;4;21981
6103;4;72481
6105;2;22205
6109;3;33149
6114;1;57928
6117;3;43600
6124;3;109322
6125;1;80175
6129;1;59161
6130;0;33194
6133;1;148148
6136;0;115599
6140;0;69983
6146;4;94585
6149;0;45678
6150;0;76605
6158;2;88675
6163;0;62856
6165;0;138910
6172;4;109534
6176;1;118162
6184;1;44816
6187;4;59056
6188;3;87783
6190;1;88082
6192;0;132801
6196;3;119560
6201;0;132132
6202;3;60036
6214;2;82100
6223;0;62839
6228;1;45888
6229;2;124413
6230;0;37150
6238;0;80831
6242;2;49509
6248;1;57678
6251;0;31756
6252;0;119816
6259;0;37168
6262;4;106802
6264;0;38844
6265;4;33096
6269;2;42721
6272;4;122221
6282;2;123244
6285;0;61630
6289;3;77341
6290;2;89026
6297;0;63651
6301;1;21941
6303;4;39003
6304;3;55809
6305;3;116121
6309;4;116307
6310;2;118024
6316;4;25921
6327;0;102719
6329;1;83773
6330;1;34181
6337;0;66003
6343;3;137736
6349;4;128505
6353;0;71721
6358;3;132340
6363;4;122192
6364;2;133057
6372;2;87818
6376;4;81993
6379;1;93177
6387;1;29251
6391;1;89332
6404;1;108779
6407;0;147878
6412;4;76956
6417;3;58470
6422;0;126896
6424;1;109246
6431;4;90137
6434;1;43585
6435;0;116562
6448;3;101038
6451;1;46327
6455;2;36532
6456;1;37075
6462;3;108927
6466;4;87375
6470;1;131736
6471;4;104859
6475;3;72683
6480;4;103758
6481;0;141321
6487;2;141737
6490;4;147193
6493;2;64825
6498;3;106024
6501;1;108556
6508;3;63042
6509;1;31305
6511;2;38134
6519;3;37427
6520;1;30638
6527;0;108764
6532;0;96157
6535;3;90767
6536;3;109283
6537;3;113615
6538;3;69919
6541;0;129482
6542;0;47219
6545;3;100038
6546;1;103807
6553;3;38422
6555;0;94586
6556;1;70410
6560;1;109114
6562;3;67031
6564;0;97980
6566;3;65261
6568;1;103750
6574;1;135276
6576;4;39682
6582;1;31818
6583;2;21253
6601;4;144833
6608;3;61694
6613;0;108394
6614;1;72567
6616;2;89441
6620;4;34529
6621;2;41792
6622;2;94972
6632;0;69479
6633;3;74790
6634;2;140736
6637;1;136856
6641;1;111553
6642;4;136556
6655;2;116857
6666;0;82389
6670;1;103153
6674;2;107287
6678;3;132008
6679;1;101231
6682;3;149303
6684;1;106390
6686;2;34229
6695;2;68459
6698;1;77484
6699;1;146383
6704;4;128583
6706;0;110878
6709;4;47856
6712;4;25279
6725;4;52973
6728;1;118151
6732;4;56018
6733;2;55285
6737;3;53165
6739;0;144704
6742;3;114306
6744;4;101989
6749;3;117599
6752;1;133691
6753;4;33156
6754;0;54624
6756;4;35495
6764;3;55685
6773;1;108287
6778;1;36719
6782;3;33674
6787;0;127971
6792;4;79597
6803;4;45733
6805;3;71253
6807;4;93809
6819;4;67467
6822;3;91843
6824;1;94832
6828;3;51117
6829;1;116743
6833;4;121190
6834;2;130339
6835;4;52352
6837;2;118932
6838;2;77538
6842;4;77588
6847;2;57646
6851;4;86231
6859;1;103127
6868;4;69088
6871;2;139375
6875;4;31493
6886;0;134490
6891;2;74433
6894;0;117497
6897;0;50594
6903;4;87389
6908;1;81774
6914;4;126488
6918;3;130140
6921;0;93477
6922;2;21871
6925;3;83620
6929;3;141775
6931;2;35819
6939;1;48834
6944;2;100010
6945;2;31491
6949;0;91694
6950;2;24462
6958;0;120766
6959;4;43405
6960;4;53602
6963;4;136887
6965;3;117668
6968;0;115198
6969;4;60324
6970;0;65984
6971;4;75107
6973;1;44130
6978;1;22451
6993;2;41857
6997;0;114597
6998;3;62202
6999;0;45278
7000;3;52553
7010;4;134605
7013;1;40744
7019;0;102303
7020;0;146419
7023;1;147182
7031;2;145569
7033;2;65465
7040;2;148377
7043;3;21233
7044;3;87168
7047;2;83531
7051;1;101224
7055;4;91971
7059;3;124982
7060;4;92325
7063;2;93309
7068;2;132939
7071;0;120741
7077;4;101841
7081;4;117284
7083;1;39005
7085;4;31559
7087;3;92274
7092;1;38124
7095;3;61161
7097;0;36461
7099;3;143303
7107;2;128497
7113;0;86116
7116;4;119286
7120;0;149007
7122;3;147750
7128;3;31647
7132;4;69231
7141;2;139658
