add_id;city;state
520;Bangalore;Goa
521;Kolkata;Telangana
522;Delhi;West Bengal
529;Kolkata;Rajasthan
530;Bangalore;Mizoram
534;Kolkata;Madhya Pradesh
540;Chennai;Arunachal Pradesh
543;Hyderabad;Manipur
549;Hyderabad;Chhattisgarh
558;Hyderabad;Odisha
559;Hyderabad;Assam
563;Delhi;Uttar Pradesh
569;Hyderabad;Gujarat
570;Bangalore;Jharkhand
576;Mumbai;Gujarat
577;Mumbai;Chhattisgarh
583;Delhi;Andhra Pradesh
586;Kolkata;Meghalaya
587;Mumbai;Kerala
592;Chennai;Maharashtra
595;Bangalore;Arunachal Pradesh
597;Delhi;Nagaland
603;Mumbai;Himachal Pradesh
612;Bangalore;Gujarat
613;Hyderabad;Punjab
617;Mumbai;Uttar Pradesh
619;Chennai;Punjab
628;Kolkata;Meghalaya
630;Mumbai;Andhra Pradesh
631;Mumbai;Goa
637;Chennai;Chhattisgarh
639;Mumbai;Uttar Pradesh
642;Hyderabad;Odisha
645;Kolkata;Telangana
655;Kolkata;Meghalaya
659;Hyderabad;Kerala
660;Mumbai;Himachal Pradesh
667;Delhi;Tamil Nadu
671;Delhi;Sikkim
674;Mumbai;Karnataka
679;Bangalore;Tamil Nadu
680;Kolkata;Meghalaya
705;Kolkata;Maharashtra
711;Bangalore;Bihar
714;Bangalore;Karnataka
719;Chennai;Manipur
722;Bangalore;Arunachal Pradesh
726;Hyderabad;Himachal Pradesh
734;Kolkata;Karnataka
737;Kolkata;Jharkhand
743;Bangalore;Rajasthan
751;Chennai;Gujarat
755;Chennai;Bihar
756;Hyderabad;Haryana
759;Bangalore;Haryana
762;Hyderabad;Haryana
763;Kolkata;Maharashtra
764;Chennai;Tripura
765;Kolkata;Sikkim
766;Delhi;Meghalaya
773;Chennai;Nagaland
781;Hyderabad;Gujarat
782;Bangalore;Himachal Pradesh
784;Kolkata;Kerala
787;Chennai;Bihar
792;Mumbai;Karnataka
797;Hyderabad;Andhra Pradesh
798;Hyderabad;Himachal Pradesh
801;Chennai;Tripura
809;Kolkata;West Bengal
810;Chennai;Jharkhand
811;Kolkata;Punjab
813;Mumbai;Chhattisgarh
814;Hyderabad;Odisha
820;Hyderabad;Meghalaya
845;Chennai;Telangana
849;Bangalore;Meghalaya
857;Mumbai;Maharashtra
859;Kolkata;Jharkhand
866;Hyderabad;Odisha
870;Chennai;Rajasthan
872;Delhi;Kerala
879;Chennai;Madhya Pradesh
887;Chennai;Assam
889;Mumbai;Jharkhand
891;Delhi;Telangana
892;Chennai;Bihar
901;Mumbai;Maharashtra
905;Delhi;Himachal Pradesh
915;Delhi;Arunachal Pradesh
918;Kolkata;Arunachal Pradesh
922;Delhi;Karnataka
927;Mumbai;Punjab
932;Mumbai;Nagaland
938;Chennai;Tripura
939;Kolkata;Tamil Nadu
940;Chennai;Rajasthan
941;Kolkata;Arunachal Pradesh
942;Bangalore;West Bengal
944;Mumbai;Chhattisgarh
946;Bangalore;Chhattisgarh
947;Chennai;West Bengal
956;Delhi;Kerala
961;Hyderabad;Rajasthan
968;Kolkata;Jharkhand
977;Delhi;Tamil Nadu
978;Kolkata;Haryana
987;Mumbai;Jharkhand
990;Delhi;Telangana
992;Delhi;Jharkhand
995;Bangalore;Odisha
997;Kolkata;Nagaland
1001;Kolkata;Telangana
1007;Hyderabad;West Bengal
1011;Kolkata;West Bengal
1018;Kolkata;Meghalaya
1022;Chennai;Assam
1024;Bangalore;Manipur
1026;Kolkata;Chhattisgarh
1029;Kolkata;Odisha
1032;Bangalore;Andhra Pradesh
1033;Kolkata;Telangana
1034;Hyderabad;Manipur
1037;Hyderabad;Jharkhand
1044;Delhi;Himachal Pradesh
1045;Chennai;Manipur
1050;Delhi;Chhattisgarh
1051;Hyderabad;Rajasthan
1054;Delhi;Jharkhand
1064;Delhi;Uttarakhand
1066;Bangalore;Assam
1070;Kolkata;Jharkhand
1077;Kolkata;Gujarat
1083;Mumbai;Punjab
1087;Kolkata;Jharkhand
1092;Kolkata;Odisha
1096;Bangalore;Mizoram
1098;Delhi;Assam
1100;Bangalore;Uttar Pradesh
1101;Kolkata;Haryana
1108;Delhi;Sikkim
1124;Kolkata;Sikkim
1125;Kolkata;Arunachal Pradesh
1126;Mumbai;Uttar Pradesh
1131;Mumbai;Karnataka
1144;Bangalore;Chhattisgarh
1145;Delhi;Uttarakhand
1149;Delhi;Tripura
1151;Delhi;Punjab
1153;Mumbai;Himachal Pradesh
1162;Hyderabad;Meghalaya
1164;Kolkata;Nagaland
1168;Kolkata;Karnataka
1174;Bangalore;Gujarat
1180;Bangalore;Uttarakhand
1185;Mumbai;Meghalaya
1186;Mumbai;Chhattisgarh
1189;Bangalore;Karnataka
1191;Chennai;Madhya Pradesh
1193;Delhi;Karnataka
1201;Bangalore;Kerala
1205;Delhi;Haryana
1207;Hyderabad;Kerala
1208;Bangalore;Gujarat
1209;Bangalore;Arunachal Pradesh
1212;Delhi;Mizoram
1216;Delhi;Andhra Pradesh
1218;Hyderabad;Arunachal Pradesh
1219;Bangalore;Mizoram
1220;Kolkata;Punjab
1221;Bangalore;Goa
1223;Delhi;Tamil Nadu
1235;Mumbai;Gujarat
1245;Hyderabad;Meghalaya
1246;Hyderabad;Manipur
1247;Hyderabad;Karnataka
1249;Bangalore;Nagaland
1257;Kolkata;Odisha
1267;Mumbai;Uttarakhand
1268;Chennai;Telangana
1269;Mumbai;Mizoram
1273;Chennai;Odisha
1276;Mumbai;Punjab
1282;Hyderabad;Uttarakhand
1285;Delhi;Andhra Pradesh
1288;Mumbai;Karnataka
1291;Bangalore;Rajasthan
1293;Delhi;Maharashtra
1300;Hyderabad;Andhra Pradesh
1302;Delhi;Assam
1308;Bangalore;Telangana
1315;Mumbai;Uttar Pradesh
1321;Kolkata;Arunachal Pradesh
1324;Kolkata;Kerala
1325;Kolkata;Maharashtra
1330;Chennai;Chhattisgarh
1331;Bangalore;Meghalaya
1334;Kolkata;Rajasthan
1337;Delhi;Meghalaya
1342;Chennai;Uttarakhand
1343;Hyderabad;Meghalaya
1347;Bangalore;West Bengal
1355;Bangalore;Haryana
1356;Mumbai;Manipur
1363;Hyderabad;Maharashtra
1366;Kolkata;Tamil Nadu
1369;Kolkata;Jharkhand
1371;Hyderabad;Maharashtra
1376;Delhi;Karnataka
1377;Delhi;Gujarat
1378;Kolkata;Meghalaya
1381;Chennai;Nagaland
1383;Mumbai;Goa
1384;Chennai;Rajasthan
1392;Kolkata;Andhra Pradesh
1393;Mumbai;Assam
1394;Mumbai;Punjab
1395;Mumbai;Punjab
1396;Mumbai;Goa
1400;Chennai;Punjab
1401;Mumbai;Arunachal Pradesh
1408;Hyderabad;Tripura
1409;Delhi;West Bengal
1420;Kolkata;Tamil Nadu
1423;Hyderabad;Mizoram
1427;Bangalore;Uttarakhand
1442;Bangalore;Punjab
1449;Chennai;Arunachal Pradesh
1450;Hyderabad;Jharkhand
1451;Bangalore;Nagaland
1464;Bangalore;Bihar
1467;Hyderabad;Rajasthan
1471;Kolkata;Chhattisgarh
1482;Chennai;Manipur
1484;Bangalore;Nagaland
1493;Chennai;Haryana
1494;Bangalore;Jharkhand
1497;Hyderabad;Sikkim
1499;Mumbai;Meghalaya
1501;Mumbai;Uttar Pradesh
1502;Bangalore;Uttarakhand
1503;Delhi;Karnataka
1510;Kolkata;Manipur
1514;Delhi;Bihar
1517;Mumbai;Sikkim
1521;Chennai;Maharashtra
1527;Bangalore;Goa
1528;Delhi;Bihar
1534;Chennai;Punjab
1535;Delhi;Rajasthan
1549;Kolkata;Telangana
1552;Bangalore;Kerala
1557;Mumbai;Uttarakhand
1560;Kolkata;Madhya Pradesh
1561;Chennai;Andhra Pradesh
1564;Hyderabad;Kerala
1566;Chennai;Punjab
1568;Delhi;Tripura
1571;Mumbai;Meghalaya
1576;Bangalore;Manipur
1579;Mumbai;Meghalaya
1581;Bangalore;Bihar
1583;Kolkata;Uttar Pradesh
1588;Chennai;Jharkhand
1597;Kolkata;Kerala
1598;Bangalore;Jharkhand
1599;Chennai;Jharkhand
1601;Delhi;Sikkim
1607;Chennai;Bihar
1608;Mumbai;Tripura
1610;Chennai;Goa
1611;Kolkata;Chhattisgarh
1615;Hyderabad;Telangana
1618;Mumbai;Tripura
1621;Delhi;Punjab
1624;Mumbai;Nagaland
1631;Mumbai;Bihar
1634;Mumbai;Maharashtra
1640;Chennai;Maharashtra
1642;Kolkata;Arunachal Pradesh
1648;Delhi;Madhya Pradesh
1651;Bangalore;Uttarakhand
1656;Kolkata;Chhattisgarh
1657;Delhi;Tripura
1663;Kolkata;Manipur
1664;Hyderabad;Uttarakhand
1666;Chennai;Karnataka
1667;Mumbai;West Bengal
1673;Hyderabad;Gujarat
1678;Bangalore;Kerala
1679;Delhi;Odisha
1681;Hyderabad;Telangana
1683;Hyderabad;Arunachal Pradesh
1693;Kolkata;Tripura
1695;Hyderabad;Jharkhand
1699;Bangalore;Telangana
1706;Hyderabad;Assam
1708;Chennai;Kerala
1709;Delhi;Jharkhand
1710;Delhi;Punjab
1712;Mumbai;West Bengal
1714;Bangalore;Karnataka
1720;Bangalore;Maharashtra
1725;Mumbai;Haryana
1726;Bangalore;Telangana
1730;Delhi;Mizoram
1735;Delhi;Gujarat
1737;Mumbai;Gujarat
1742;Chennai;Goa
1743;Mumbai;Nagaland
1745;Chennai;Maharashtra
1751;Mumbai;Chhattisgarh
1753;Bangalore;Tripura
1754;Mumbai;Haryana
1758;Kolkata;Goa
1760;Bangalore;Himachal Pradesh
1761;Bangalore;Punjab
1762;Delhi;Bihar
1763;Bangalore;Tripura
1770;Hyderabad;Haryana
1772;Chennai;Arunachal Pradesh
1774;Bangalore;Manipur
1777;Mumbai;Gujarat
1785;Chennai;Bihar
1787;Hyderabad;Rajasthan
1788;Mumbai;Uttar Pradesh
1795;Delhi;Odisha
1797;Mumbai;Tamil Nadu
1800;Delhi;Uttar Pradesh
1811;Chennai;Nagaland
1812;Kolkata;Kerala
1813;Delhi;Haryana
1816;Delhi;Telangana
1821;Mumbai;Sikkim
1824;Mumbai;Chhattisgarh
1825;Hyderabad;Manipur
1834;Chennai;Uttarakhand
1835;Mumbai;Sikkim
1836;Bangalore;Bihar
1837;Bangalore;Rajasthan
1838;Bangalore;Chhattisgarh
1840;Kolkata;Chhattisgarh
1841;Kolkata;Manipur
1844;Mumbai;Goa
1846;Mumbai;Bihar
1847;Kolkata;Meghalaya
1855;Chennai;Himachal Pradesh
1866;Bangalore;Karnataka
1867;Hyderabad;Gujarat
1868;Bangalore;Madhya Pradesh
1869;Hyderabad;Tripura
1870;Mumbai;Madhya Pradesh
1872;Delhi;Uttarakhand
1879;Delhi;Odisha
1882;Hyderabad;West Bengal
1885;Chennai;Karnataka
1900;Chennai;Bihar
1910;Chennai;Telangana
1916;Mumbai;Arunachal Pradesh
1919;Chennai;Sikkim
1924;Delhi;Madhya Pradesh
1930;Bangalore;Odisha
1933;Mumbai;Maharashtra
1939;Chennai;Jharkhand
1941;Kolkata;Haryana
1944;Chennai;Tripura
1961;Delhi;Goa
1966;Bangalore;Madhya Pradesh
1975;Mumbai;Manipur
1976;Kolkata;Assam
1984;Delhi;Bihar
1993;Mumbai;Arunachal Pradesh
1998;Chennai;Sikkim
2001;Delhi;Bihar
2013;Delhi;Uttarakhand
2015;Kolkata;Odisha
2016;Bangalore;Manipur
2017;Mumbai;Manipur
2018;Kolkata;Gujarat
2023;Chennai;Bihar
2028;Kolkata;Goa
2029;Delhi;Meghalaya
2032;Kolkata;Kerala
2040;Delhi;Kerala
2046;Kolkata;Manipur
2061;Chennai;Karnataka
2070;Hyderabad;Himachal Pradesh
2076;Kolkata;Uttarakhand
2082;Kolkata;Meghalaya
2083;Chennai;Andhra Pradesh
2094;Kolkata;Odisha
2095;Kolkata;Jharkhand
2100;Hyderabad;Goa
2101;Bangalore;Manipur
2103;Kolkata;Himachal Pradesh
2106;Mumbai;Madhya Pradesh
2111;Bangalore;Rajasthan
2117;Mumbai;Uttarakhand
2127;Delhi;Tamil Nadu
2128;Kolkata;Jharkhand
2134;Mumbai;Uttar Pradesh
2136;Delhi;Mizoram
2138;Mumbai;Maharashtra
2139;Bangalore;Goa
2140;Hyderabad;Goa
2141;Kolkata;Manipur
2145;Kolkata;Madhya Pradesh
2147;Hyderabad;Maharashtra
2150;Mumbai;Karnataka
2159;Mumbai;West Bengal
2160;Hyderabad;Andhra Pradesh
2161;Kolkata;Tripura
2165;Bangalore;Himachal Pradesh
2170;Chennai;Nagaland
2172;Chennai;Andhra Pradesh
2174;Chennai;Jharkhand
2175;Bangalore;Tripura
2181;Hyderabad;Punjab
2184;Bangalore;Bihar
2187;Hyderabad;Maharashtra
2198;Bangalore;Bihar
2205;Mumbai;Kerala
2208;Chennai;Tamil Nadu
2224;Delhi;Gujarat
2225;Kolkata;Madhya Pradesh
2229;Hyderabad;Tamil Nadu
2231;Delhi;Nagaland
2233;Bangalore;Maharashtra
2238;Kolkata;Punjab
2243;Kolkata;Manipur
2251;Chennai;Sikkim
2253;Bangalore;Jharkhand
2256;Delhi;Madhya Pradesh
2265;Kolkata;Manipur
2268;Mumbai;Nagaland
2275;Chennai;Chhattisgarh
2278;Delhi;Sikkim
2283;Kolkata;Uttar Pradesh
2288;Hyderabad;Rajasthan
2290;Chennai;Telangana
2291;Kolkata;Punjab
2296;Delhi;West Bengal
2298;Hyderabad;Jharkhand
2300;Delhi;Assam
2309;Delhi;Uttarakhand
2311;Hyderabad;Mizoram
2320;Hyderabad;Madhya Pradesh
2322;Mumbai;Tamil Nadu
2325;Kolkata;Tripura
2326;Hyderabad;Mizoram
2328;Chennai;Kerala
2329;Delhi;Assam
2332;Delhi;Uttarakhand
2335;Hyderabad;Sikkim
2338;Bangalore;Kerala
2349;Chennai;Arunachal Pradesh
2360;Kolkata;Tamil Nadu
2361;Mumbai;Haryana
2366;Hyderabad;Madhya Pradesh
2369;Chennai;Mizoram
2372;Chennai;Meghalaya
2380;Delhi;Tamil Nadu
2383;Chennai;Himachal Pradesh
2384;Kolkata;Mizoram
2387;Hyderabad;Chhattisgarh
2390;Kolkata;Goa
2397;Hyderabad;Arunachal Pradesh
2401;Hyderabad;Uttarakhand
2403;Mumbai;Himachal Pradesh
2405;Chennai;Goa
2407;Delhi;Maharashtra
2408;Mumbai;Bihar
2411;Delhi;Maharashtra
2419;Bangalore;Tamil Nadu
2427;Delhi;Chhattisgarh
2430;Mumbai;Tripura
2431;Chennai;Goa
2438;Bangalore;Odisha
2439;Bangalore;Himachal Pradesh
2440;Chennai;Bihar
2442;Chennai;Kerala
2443;Bangalore;Odisha
2444;Hyderabad;Andhra Pradesh
2452;Mumbai;Uttarakhand
2455;Chennai;Arunachal Pradesh
2458;Kolkata;Mizoram
2460;Delhi;Arunachal Pradesh
2469;Chennai;Mizoram
2480;Chennai;Madhya Pradesh
2482;Delhi;Punjab
2484;Delhi;Arunachal Pradesh
2486;Kolkata;Sikkim
2503;Bangalore;Telangana
2506;Hyderabad;Uttar Pradesh
2507;Chennai;Chhattisgarh
2510;Kolkata;Arunachal Pradesh
2513;Delhi;Punjab
2518;Chennai;Chhattisgarh
2526;Mumbai;Odisha
2527;Chennai;Meghalaya
2530;Delhi;Telangana
2531;Delhi;Rajasthan
2534;Delhi;Arunachal Pradesh
2537;Mumbai;Tripura
2539;Hyderabad;Karnataka
2541;Delhi;Maharashtra
2542;Kolkata;Sikkim
2549;Hyderabad;Maharashtra
2555;Bangalore;Sikkim
2558;Chennai;Madhya Pradesh
2567;Delhi;Sikkim
2570;Mumbai;Mizoram
2584;Kolkata;Haryana
2587;Chennai;Gujarat
2589;Delhi;Tamil Nadu
2590;Chennai;West Bengal
2594;Hyderabad;Uttarakhand
2603;Chennai;Maharashtra
2604;Delhi;Madhya Pradesh
2605;Kolkata;Arunachal Pradesh
2606;Bangalore;Chhattisgarh
2607;Kolkata;Chhattisgarh
2608;Hyderabad;Jharkhand
2620;Chennai;Manipur
2622;Mumbai;Odisha
2626;Kolkata;Kerala
2634;Mumbai;Kerala
2639;Mumbai;Tamil Nadu
2640;Kolkata;Jharkhand
2644;Hyderabad;Punjab
2645;Delhi;Andhra Pradesh
2651;Delhi;Jharkhand
2654;Mumbai;Kerala
2655;Bangalore;Karnataka
2665;Kolkata;Chhattisgarh
2670;Mumbai;Tamil Nadu
2673;Delhi;Andhra Pradesh
2681;Hyderabad;Goa
2684;Kolkata;Bihar
2689;Kolkata;Uttar Pradesh
2691;Chennai;Himachal Pradesh
2692;Kolkata;Uttar Pradesh
2702;Chennai;Haryana
2704;Hyderabad;Meghalaya
2707;Mumbai;Rajasthan
2711;Kolkata;West Bengal
2716;Chennai;Tripura
2723;Chennai;Andhra Pradesh
2724;Chennai;Kerala
2726;Chennai;Punjab
2730;Chennai;Gujarat
2735;Mumbai;Arunachal Pradesh
2736;Kolkata;Mizoram
2740;Hyderabad;Himachal Pradesh
2742;Bangalore;Manipur
2745;Hyderabad;Uttar Pradesh
2748;Mumbai;Himachal Pradesh
2752;Bangalore;Arunachal Pradesh
2755;Hyderabad;Madhya Pradesh
2758;Mumbai;Rajasthan
2765;Chennai;Nagaland
2776;Delhi;Gujarat
2777;Delhi;Andhra Pradesh
2779;Kolkata;Haryana
2780;Delhi;Mizoram
2782;Bangalore;Haryana
2784;Kolkata;Meghalaya
2785;Mumbai;Mizoram
2787;Bangalore;Goa
2788;Hyderabad;Arunachal Pradesh
2793;Bangalore;Odisha
2795;Kolkata;Nagaland
2801;Hyderabad;Manipur
2803;Chennai;Assam
2804;Delhi;Karnataka
2809;Mumbai;Tamil Nadu
2814;Mumbai;Tamil Nadu
2820;Chennai;Arunachal Pradesh
2825;Kolkata;Punjab
2828;Delhi;Arunachal Pradesh
2829;Bangalore;Meghalaya
2832;Hyderabad;Goa
2833;Bangalore;Madhya Pradesh
2834;Kolkata;Arunachal Pradesh
2835;Hyderabad;Kerala
2845;Mumbai;Meghalaya
2846;Mumbai;Gujarat
2857;Hyderabad;West Bengal
2859;Chennai;Tamil Nadu
2861;Mumbai;Mizoram
2873;Mumbai;Andhra Pradesh
2881;Kolkata;Haryana
2883;Mumbai;Bihar
2891;Chennai;Bihar
2894;Mumbai;Uttar Pradesh
2899;Mumbai;Gujarat
2900;Chennai;Maharashtra
2908;Bangalore;Goa
2916;Mumbai;Uttarakhand
2923;Delhi;Assam
2925;Kolkata;Andhra Pradesh
2932;Kolkata;Goa
2939;Delhi;Rajasthan
2940;Chennai;Nagaland
2948;Hyderabad;Karnataka
2949;Hyderabad;Nagaland
2950;Hyderabad;Uttar Pradesh
2953;Kolkata;Telangana
2957;Kolkata;Uttarakhand
2959;Chennai;Madhya Pradesh
2961;Chennai;Rajasthan
2962;Mumbai;West Bengal
2963;Chennai;Arunachal Pradesh
2964;Bangalore;Kerala
2965;Hyderabad;Goa
2971;Mumbai;Tamil Nadu
2980;Kolkata;Madhya Pradesh
2998;Mumbai;Haryana
3010;Delhi;Goa
3015;Kolkata;Mizoram
3016;Delhi;Madhya Pradesh
3018;Chennai;Goa
3025;Chennai;Assam
3030;Chennai;Mizoram
3032;Delhi;Himachal Pradesh
3042;Kolkata;Tamil Nadu
3045;Delhi;Arunachal Pradesh
3057;Chennai;Punjab
3058;Bangalore;Andhra Pradesh
3061;Bangalore;West Bengal
3063;Bangalore;Bihar
3068;Kolkata;Tripura
3073;Hyderabad;Maharashtra
3078;Mumbai;Meghalaya
3080;Bangalore;Madhya Pradesh
3081;Delhi;Assam
3091;Hyderabad;Uttarakhand
3096;Mumbai;Rajasthan
3103;Chennai;Mizoram
3104;Hyderabad;Tamil Nadu
3105;Chennai;Sikkim
3107;Chennai;Tripura
3108;Delhi;Jharkhand
3112;Bangalore;Kerala
3116;Mumbai;Tripura
3122;Bangalore;Karnataka
3130;Chennai;West Bengal
3131;Mumbai;Punjab
3140;Chennai;Meghalaya
3155;Kolkata;Nagaland
3159;Chennai;Uttar Pradesh
3168;Hyderabad;Andhra Pradesh
3169;Mumbai;Gujarat
3170;Delhi;Bihar
3172;Bangalore;Manipur
3175;Mumbai;Kerala
3176;Delhi;Madhya Pradesh
3180;Chennai;Himachal Pradesh
3195;Chennai;Himachal Pradesh
3200;Bangalore;Odisha
3203;Bangalore;Tripura
3207;Delhi;Assam
3210;Kolkata;Kerala
3215;Mumbai;Arunachal Pradesh
3226;Kolkata;Tripura
3230;Hyderabad;Maharashtra
3233;Delhi;Arunachal Pradesh
3246;Bangalore;Uttar Pradesh
3248;Chennai;Kerala
3251;Hyderabad;Rajasthan
3252;Kolkata;Sikkim
3253;Hyderabad;Rajasthan
3256;Mumbai;Kerala
3257;Hyderabad;Mizoram
3264;Hyderabad;Tripura
3265;Mumbai;Meghalaya
3266;Hyderabad;Meghalaya
3271;Kolkata;Chhattisgarh
3278;Chennai;Punjab
3283;Delhi;Jharkhand
3288;Delhi;Tamil Nadu
3291;Bangalore;Telangana
3292;Delhi;Kerala
3296;Kolkata;Gujarat
3303;Bangalore;West Bengal
3307;Bangalore;Odisha
3308;Chennai;Uttarakhand
3319;Hyderabad;Odisha
3333;Kolkata;Gujarat
3338;Hyderabad;Kerala
3341;Chennai;Goa
3342;Delhi;Nagaland
3343;Kolkata;Maharashtra
3344;Bangalore;Mizoram
3348;Chennai;Tamil Nadu
3349;Chennai;Punjab
3350;Mumbai;Himachal Pradesh
3352;Mumbai;Himachal Pradesh
3370;Bangalore;Goa
3371;Bangalore;Nagaland
3383;Chennai;Odisha
3384;Kolkata;Mizoram
3388;Delhi;Kerala
3394;Delhi;Jharkhand
3395;Bangalore;Telangana
3401;Kolkata;Madhya Pradesh
3410;Delhi;Haryana
3416;Chennai;Rajasthan
3417;Delhi;Uttarakhand
3431;Kolkata;Himachal Pradesh
3434;Delhi;Odisha
3438;Kolkata;Kerala
3458;Mumbai;Manipur
3461;Hyderabad;Rajasthan
3463;Mumbai;Chhattisgarh
3467;Kolkata;Tamil Nadu
3474;Mumbai;Punjab
3480;Kolkata;Uttar Pradesh
3481;Mumbai;Uttar Pradesh
3482;Mumbai;Meghalaya
3485;Chennai;Rajasthan
3487;Delhi;Haryana
3489;Kolkata;Maharashtra
3494;Bangalore;Bihar
3501;Bangalore;Manipur
3505;Delhi;Goa
3524;Bangalore;Mizoram
3527;Hyderabad;Odisha
3532;Hyderabad;Kerala
3536;Bangalore;Tripura
3543;Chennai;Chhattisgarh
3545;Bangalore;Mizoram
3546;Delhi;Mizoram
3550;Hyderabad;Rajasthan
3552;Chennai;Maharashtra
3556;Bangalore;Karnataka
3559;Chennai;Assam
3561;Delhi;Uttar Pradesh
3569;Delhi;Tamil Nadu
3571;Hyderabad;Kerala
3572;Bangalore;Odisha
3575;Kolkata;Nagaland
3582;Mumbai;Uttar Pradesh
3587;Hyderabad;Uttar Pradesh
3589;Delhi;Andhra Pradesh
3594;Bangalore;Tamil Nadu
3598;Hyderabad;Tripura
3599;Delhi;Gujarat
3603;Hyderabad;Jharkhand
3604;Hyderabad;Gujarat
3605;Bangalore;Chhattisgarh
3608;Delhi;Mizoram
3610;Kolkata;Rajasthan
3612;Kolkata;Rajasthan
3622;Kolkata;Maharashtra
3624;Mumbai;Maharashtra
3625;Chennai;Maharashtra
3626;Bangalore;Madhya Pradesh
3634;Delhi;Uttar Pradesh
3651;Delhi;Jharkhand
3653;Delhi;Punjab
3654;Kolkata;Madhya Pradesh
3655;Hyderabad;Manipur
3669;Mumbai;Manipur
3671;Kolkata;Haryana
3674;Chennai;Maharashtra
3684;Hyderabad;Andhra Pradesh
3689;Mumbai;Andhra Pradesh
3691;Kolkata;Gujarat
3692;Delhi;Kerala
3701;Bangalore;Mizoram
3705;Chennai;Madhya Pradesh
3706;Delhi;Arunachal Pradesh
3708;Delhi;Uttar Pradesh
3709;Bangalore;Assam
3712;Mumbai;Uttar Pradesh
3713;Chennai;Arunachal Pradesh
3714;Delhi;Jharkhand
3717;Kolkata;Arunachal Pradesh
3719;Delhi;Tamil Nadu
3735;Chennai;Uttarakhand
3740;Hyderabad;Arunachal Pradesh
